"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1657435",-2.81198454356277,9.09640113465464,-17.2631016361719,4.42044779238869e-41,1.63314825079735e-38,82.821112883741,"MT1M","metallothionein 1M"
"ILMN_1758939",1.10962060860939,8.57605315505155,17.2412796960984,5.13142185663737e-41,1.83837075454834e-38,82.6731415027441,"RIPK2","receptor interacting serine/threonine kinase 2"
"ILMN_1761789",-1.72885084669009,7.65115466190206,-17.2429801580086,5.07212331992386e-41,1.83837075454834e-38,82.6846735779799,"CA7","carbonic anhydrase 7"
"ILMN_1773119",1.10447877646109,8.08304273468041,17.2418535737627,5.11133234169995e-41,1.83837075454834e-38,82.6770334148397,"CCNF","cyclin F"
"ILMN_2246956",-1.08785247226907,8.3279406235567,-17.2427236460965,5.08102424319596e-41,1.83837075454834e-38,82.6829339993263,"BCL2","BCL2 apoptosis regulator"
"ILMN_1716909",-2.70285789532635,9.8915895240567,-17.2294879546812,5.56218101804889e-41,1.97771082965062e-38,82.5931661616047,"ADAMDEC1","ADAM like decysin 1"
"ILMN_1794875",-1.43312976021801,8.42563433587629,-17.2224494762314,5.83637867912653e-41,2.05971901295443e-38,82.5454232020549,"GPAT3","glycerol-3-phosphate acyltransferase 3"
"ILMN_3249351",-1.05086591794916,7.33554716384536,-17.2148110712002,6.14929264538147e-41,2.15407443851918e-38,82.4936059946391,"SNORA35","small nucleolar RNA, H/ACA box 35"
"ILMN_2388263",-2.32455149719214,8.87624967185567,-17.2125798486828,6.24382936682667e-41,2.17110802027377e-38,82.4784689326721,"HEPACAM2","HEPACAM family member 2"
"ILMN_1739645",1.16768128178144,7.84007794480928,17.2001372585533,6.79835854853408e-41,2.34667427562173e-38,82.3940479984878,"ANLN","anillin, actin binding protein"
"ILMN_1800573",1.130989854995,10.0851383998454,17.172548153872,8.21033489378749e-41,2.81352708063196e-38,82.2068127728165,"RPS21","ribosomal protein S21"
"ILMN_1679476",1.00123483638883,9.54736779924227,17.147795024708,9.72561081100393e-41,3.30880672843436e-38,82.0387683800735,"GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
"ILMN_2155172",0.833505459663115,8.74033000165464,17.1443305134242,9.95895489458848e-41,3.36399269260778e-38,82.0152442694588,"BRIX1","biogenesis of ribosomes BRX1"
"ILMN_1663092",-1.2225009274278,9.67646657545876,-17.1190671932771,1.18389221942318e-40,3.97065695436327e-38,81.8436747695233,"CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2"
"ILMN_1710075",1.07890972842324,8.46484103074742,17.1173045709458,1.19826438490727e-40,3.99055794100457e-38,81.8317023328236,"FAM89A","family with sequence similarity 89 member A"
"ILMN_1775183",0.395847206683984,6.83985494362887,17.1118692304243,1.2436932401561e-40,4.1128848480407e-38,81.794781660282,"CBX8","chromobox 8"
"ILMN_1693108",0.737579178369626,7.79988634509278,17.1043344513778,1.30953715775442e-40,4.30055640209768e-38,81.7435959676717,"RUVBL1","RuvB like AAA ATPase 1"
"ILMN_1669410",-3.42741162487745,9.98844012462371,-17.0987796771624,1.36030465056713e-40,4.43646944312549e-38,81.7058578730672,"CHGA","chromogranin A"
"ILMN_1702278",-1.40731966828616,7.62830911204124,-17.097337511115,1.37380460348772e-40,4.44980956842014e-38,81.6960596396963,NA,NA
"ILMN_1766637",0.859985175280938,9.2121221391134,17.0845845791047,1.49917918241324e-40,4.82286962832124e-38,81.6094071675261,"GLA","galactosidase alpha"
